split,sensor_id,borough,year,5-1_car-horn_presence,5-2_car-alarm_presence,5-4_reverse-beeper_presence,1_engine_presence,2_machinery-impact_presence,3_non-machinery-impact_presence,4_powered-saw_presence,5_alert-signal_presence,6_music_presence,7_human-voice_presence,8_dog_presence
test,2,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,2,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,2,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,2,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,2,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,2,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,2,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,2,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,2,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,2,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,2,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,2,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,2,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,3,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,3,Manhattan,2019,0,0,0,1,0,1,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,0,1,1,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,1,0,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,3,Manhattan,2019,1,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
test,3,Manhattan,2019,1,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,1,0,0,1,0,1,0,1,0,1,0
test,3,Manhattan,2019,1,0,0,1,0,0,0,1,0,1,0
test,3,Manhattan,2019,1,0,0,0,0,0,0,1,1,0,0
test,3,Manhattan,2019,1,0,0,0,0,0,0,1,0,0,0
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,0,0,0,1,0,1,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,3,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,3,Manhattan,2019,0,0,0,0,0,1,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,1,0,1,0,0,0,0,0
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,0,0,0,0,1,0,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,3,Manhattan,2019,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,3,Manhattan,2019,0,0,0,1,1,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,3,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,3,Manhattan,2019,0,0,0,1,0,1,1,0,0,0,0
test,3,Manhattan,2019,0,0,0,0,0,0,1,0,0,0,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,1,1,0,0,0,0,0,0
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,1,1,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,3,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,3,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,3,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,3,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,1,0,1,0,1,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,1,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,0,0,1,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,0,0,1,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,1,1,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,0,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,0,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,1,0,1,0,0,0,1,1
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,1,1,1,1,1,1,1,1,1,1,1
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,0,0,1,0,0,1,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,1,1,0
test,4,Manhattan,2019,1,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,1,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,1,0,0,1,0,0,0,1,0,1,0
test,4,Manhattan,2019,1,0,0,1,0,0,0,1,0,1,0
test,4,Manhattan,2019,1,0,0,0,0,0,0,1,0,1,0
test,4,Manhattan,2019,1,0,0,1,0,0,0,1,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,0,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,0,-1,-1,-1
test,4,Manhattan,2019,0,0,0,1,0,1,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,1,0,0,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,1,0,1,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,0,0,1,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,1,1,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,0,0,1,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,0,0,1,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,1
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,1,0,1,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,1,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,1,0,0,0,0,0,0
test,4,Manhattan,2019,1,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,1,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
test,4,Manhattan,2019,1,0,0,0,1,0,0,1,0,1,1
test,4,Manhattan,2019,1,0,0,0,0,1,0,1,0,1,1
test,4,Manhattan,2019,1,0,0,0,0,0,0,1,0,1,1
test,4,Manhattan,2019,1,0,0,0,0,0,0,1,0,1,0
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,1,0,1,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,1,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,1,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,1,0,0,1,0,0,0,1,0,1,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,1,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,0,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,1,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,0,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,0,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
test,4,Manhattan,2019,1,0,0,1,0,1,0,1,0,1,1
test,4,Manhattan,2019,1,0,0,0,0,0,0,1,0,1,1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,1
test,4,Manhattan,2019,0,0,0,0,0,0,0,0,0,1,0
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
test,4,Manhattan,2019,0,0,0,-1,-1,-1,-1,1,-1,-1,-1
test,4,Manhattan,2019,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
test,4,Manhattan,2019,0,0,0,0,0,1,0,1,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,0,0,1,0,1,0
test,4,Manhattan,2019,0,0,0,0,0,1,0,1,0,1,0
